attention;meditation;delta;theta;low-alpha;high-alpha;low-beta;high-beta;low-gamma;mid-gamma
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
0;0;569168;499603;142466;146513;102858;177109;231028;107286
